compound_id,smiles,compound_type,known_activity,description
DECOY_070,C1CCNCC1.CN.CN1CCCCC1.F,decoy,inactive,Drug-like decoy compound
CDK_064,C1CCNCC1.CCN(C)C.CN1CCCCC1.Cn1ccc2ncncc21,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 30
CDK_221,Br.CN1CCCCC1.Cl,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_094,C1CCNCC1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 60
DECOY_236,Br.C1CCNCC1.CN1CCCCC1.CO,decoy,inactive,Drug-like decoy compound
DECOY_055,CN1CCCCC1.NC=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_034,CCC(=O)N(C)c1ccc(-c2cnc(N)nc2N)cc1,CDK_inhibitor,CDK_active,AG-024322 analog analog 3
CDK_078,CC(C)C.Nc1nc(Nc2ccccc2)nc2ccccc12,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 44
CDK_001,CN(C)C1=NC=NC2=C1C=C(C=C2)NC3=CC(=CC=C3)C#N,CDK_inhibitor,CDK4/6_active,Palbociclib - FDA approved CDK4/6 inhibitor
DECOY_002,CC1=CC=C(C=C1)C(C)C(=O)O,decoy,inactive,Ibuprofen - NSAID
CDK_234,Br.C1CCNCC1.NC=O.O=CO,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_023,CCN1CCCN(c2ccc(Nc3ncnc4ccc(Nc5c(F)cccc5Cl)cc34)cc2)CC1,CDK_inhibitor,CDK4/6_active,Abemaciclib analog 1
CDK_073,CCN(C)C.Nc1nc(N)c2ccccc2n1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 39
DECOY_053,N[SH](=O)=O.c1ccccc1.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_132,CN1CCCCC1.Cc1ccccc1.c1ccccc1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 98
CDK_232,Cl.O=CO.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_060,Cl.NC=O.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_056,CN1CCCCC1.Nc1nc(Nc2ccccc2)nc2ccccc12,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 22
DECOY_025,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,decoy,inactive,Antibiotic compound
DECOY_009,CC(C)NCC(COC1=CC=CC=C1)O,decoy,inactive,Propranolol - beta blocker
DECOY_067,Br.F.FC(F)F.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_079,C1CCNCC1.Fc1ccccc1.Nc1ncnc(N)n1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 45
CDK_266,F.FC(F)F.O=CO.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_102,Cl.O=CO.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_141,C1CCNCC1.CN.CN1CCCCC1.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_234,F.O=CO.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_080,CC(C)C.FC(F)(F)c1ccccc1.Nc1nc(N)c2ccccc2n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 46
CDK_040,Clc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1.c1ccccc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 6
DECOY_214,Br.C1CCNCC1.CN.FC(F)F,decoy,inactive,Drug-like decoy compound
CDK_047,COc1ccccc1.Nc1nc2ccncc2[nH]1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 13
CDK_164,Br.CN.NC=O.N[SH](=O)=O,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_177,Br.CN.CN1CCCCC1,decoy,inactive,Drug-like decoy compound
DECOY_157,Br.FC(F)F.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_151,Br.Cl.F.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_111,C1CCNCC1.CN1CCCCC1.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_183,Br.CN1CCCCC1.CO.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_138,CN.Cl.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_128,Br.C1CCNCC1.FC(F)F,decoy,inactive,Drug-like decoy compound
CDK_174,F.FC(F)F.O=CO.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_070,Clc1ccccc1.Fc1ccccc1.Nc1n[nH]c2ccccc12,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 36
DECOY_218,NC=O.N[SH](=O)=O.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_253,O=CO.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_031,CN(C)CCC(c1ccccc1)c2ccccn2,decoy,inactive,Beta-blocker compound
CDK_083,C1CCNCC1.c1cncnc1.c1cncnc1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 49
CDK_258,C1CCNCC1.NC=O.N[SH](=O)=O.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_135,CO.F.N[SH](=O)=O.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_193,O=CO.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_091,CCN(C)C.Nc1nc(Nc2ccccc2)nc2ccccc12,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 57
CDK_139,CN1CCCCC1.FC(F)F.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_192,C1CCNCC1.F.FC(F)F.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_134,CN1CCCCC1.N[SH](=O)=O.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_178,Br.CN.CN1CCCCC1.CO,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_219,F.O=CO.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_257,C1CCNCC1.CN1CCCCC1.Cl.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_212,Br.CN1CCCCC1.CO.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_142,C1CCNCC1.FC(F)F.N[SH](=O)=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_202,F.NC=O.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_205,Br.CN.N[SH](=O)=O.O=CO,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_087,CN1CCCCC1.Nc1nc(N)c2ccccc2n1.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 53
CDK_076,CN1CCCCC1.Cc1ccccc1.FC(F)(F)c1ccccc1.Nc1nc(Nc2ccccc2)nc2ccccc12,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 42
CDK_244,CN.F.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_006,CC1=C(C(=O)N(C2=CC=CC=C2)N1C)C3=CC=C(C=C3)Cl,decoy,inactive,Phenylpyrazolone derivative
CDK_168,CN.CN1CCCCC1.CO.FC(F)F,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_242,C1CCNCC1.FC(F)F.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_010,CN(C)C(=O)C1=CC=C(C=C1)N(CCCl)CCCl,decoy,inactive,Mechlorethamine analog
DECOY_140,N[SH](=O)=O.O=CO.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_146,C1CCNCC1.CN.CN1CCCCC1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_057,Nc1ncnc(N)n1.c1ccncc1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 23
CDK_187,C1CCNCC1.CO.Cl.N[SH](=O)=O,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_083,C1CCNCC1.CN.CN1CCCCC1.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_145,C1CCNCC1.Cl.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_133,COc1ccccc1.Cc1ccccc1.Nc1nc2ccncc2[nH]1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 99
DECOY_014,CC(C)N(C)CC(O)COc1ccccc1,decoy,inactive,Propranolol analog
DECOY_197,Br.CN1CCCCC1.NC=O.O=CO,decoy,inactive,Drug-like decoy compound
CDK_199,Br.FC(F)F.NC=O.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_026,COc1ccc(-n2cc(C(N(C))=O)c(-c3ccc(Cl)cc3)n2)cc1,CDK_inhibitor,CDK2_active,Roscovitine analog analog 1
CDK_252,Br.F.N[SH](=O)=O.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_113,CN1CCCCC1.Cl.FC(F)F,decoy,inactive,Drug-like decoy compound
DECOY_091,C1CCNCC1.CN.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_163,CN1CCCCC1.F.NC=O.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_118,C1CCNCC1.COc1ccccc1.Cc1ccccc1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 84
CDK_043,CN1CCCCC1.Nc1ncnc(N)n1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 9
DECOY_076,CN.CN1CCCCC1.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_137,Br.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_192,CN1CCCCC1.c1ccccc1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_030,CC(CS)C(=O)N1CCCC1C(=O)O,decoy,inactive,Antidepressant compound
CDK_159,CN.CN1CCCCC1.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_081,C1CCNCC1.CN1CCCCC1.FC(F)F.O=CO,decoy,inactive,Drug-like decoy compound
CDK_235,N[SH](=O)=O.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_148,Br.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_127,Cc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 93
CDK_197,C1CCNCC1.F.O=CO.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_032,CCCC(=O)Nc1ccc(-c2cnc(N)nc2N)cc1,CDK_inhibitor,CDK_active,AG-024322 analog analog 1
CDK_114,C1CCNCC1.Nc1ncnc(Nc2ccccc2)n1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 80
CDK_255,Br.CN.N[SH](=O)=O.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_175,Br.CO.Cl.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_017,CN(C)c1ccc(C=CC(=O)NC2C(=O)C3(O)C(O)C4C(N(C)C)C(O)=C(C(N)=O)C(=O)C4(O)C(O)(C3C(=O)C2=C(O)c2c(O)cccc2Cl)C)cc1,decoy,inactive,Statin compound
CDK_058,CC(C)C.Cc1ccccc1.Cn1ccc2ncncc21,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 24
CDK_144,CN1CCCCC1.NC=O.c1ccccc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_025,Cc1cc(C)cc(N(C)c2ccnc(Nc3ccc(CN4CCCN(C)CC4)cc3)n2)c1,CDK_inhibitor,CDK4/6_active,LEE011 analog analog 1
DECOY_008,COC1=CC=C(C=C1)N2C=NC=N2,decoy,inactive,Simple imidazole
CDK_172,Br.CN.FC(F)F.NC=O,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_067,CCN(C)C.COc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 33
DECOY_069,C1CCNCC1.NC=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_259,Br.Cl.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_095,CC(C)C.Fc1ccccc1.Nc1n[nH]c2ccccc12,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 61
DECOY_095,Br.NC=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_173,C1CCNCC1.FC(F)F.NC=O.N[SH](=O)=O,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_024,CCN1CCN(c2ccc(Nc3ncnc4ccc(Nc5c(F)cccc5Cl)cc34)cc2)CC1,CDK_inhibitor,CDK4/6_active,Abemaciclib analog 2
DECOY_078,Br.C1CCNCC1.NC=O,decoy,inactive,Drug-like decoy compound
DECOY_101,Br.C1CCNCC1.Cl.NC=O,decoy,inactive,Drug-like decoy compound
CDK_239,C1CCNCC1.CN1CCCCC1.F.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_006,COC1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)Cl)C(=O)N,CDK_inhibitor,CDK2_active,Roscovitine analog
CDK_117,FC(F)(F)c1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 83
CDK_046,CC(C)C.Nc1n[nH]c2ccccc12,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 12
DECOY_007,CN1CCN(CC1)C2=C(C=C3C(=C2)N=CC=C3)Cl,decoy,inactive,Quinoline derivative
CDK_251,C1CCNCC1.Cl.F.N[SH](=O)=O,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_208,C1CCNCC1.FC(F)F.NC=O.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_004,CN(C)C1=NC2=C(C=CC(=C2)NC3=CC=CC(=C3)C(F)(F)F)C(=N1)N,CDK_inhibitor,CDK4/6_active,SY-1365 - CDK7 inhibitor
CDK_154,C1CCNCC1.N[SH](=O)=O.O=CO.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_188,C1CCNCC1.CN1CCCCC1.Cl.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_061,Nc1nc2ccccc2[nH]1.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 27
CDK_111,CN1CCCCC1.COc1ccccc1.Nc1nc2ccncc2[nH]1.c1cncnc1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 77
DECOY_139,C1CCNCC1.CN1CCCCC1.F.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_200,C1CCNCC1.Cl.F.FC(F)F,decoy,inactive,Drug-like decoy compound
CDK_030,Cn1c(C(F)(F)F)nc2c1c(=O)n(-c1ccccc1)c(=O)n2C,CDK_inhibitor,CDK2_active,R-roscovitine derivative analog 3
DECOY_205,C1CCNCC1.CN1CCCCC1.Cl.O=CO,decoy,inactive,Drug-like decoy compound
CDK_256,Br.Cl.FC(F)F.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_027,CCOC(=O)c1sc(NC(=O)Nc2ccc(OCc3ccccn3)c(OC)c2)nc1C,CDK_inhibitor,CDK_active,Purvalanol analog analog 1
CDK_008,CN1C=NC2=C1C(=O)N(C(=O)N2C)C3=CC=CC=C3,CDK_inhibitor,CDK2_active,R-roscovitine derivative
DECOY_216,C1CCNCC1.CN1CCCCC1.Cl,decoy,inactive,Drug-like decoy compound
CDK_109,COc1ccccc1.Nc1nc(N)c2ccccc2n1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 75
CDK_038,Clc1ccccc1.Cn1ncc2ncncc21.c1ccncc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 4
DECOY_034,CC(C)Cc1ccc(C(C)C(=O)O)cc1,decoy,inactive,Antifungal compound
CDK_261,Br.C1CCNCC1.CN1CCCCC1.Cl,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_119,CCN(C)C.COc1ccccc1.Fc1ccccc1.c1ncc2[nH]ccc2n1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 85
CDK_115,Cc1ccccc1.Nc1ncnc(Nc2ccccc2)n1.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 81
CDK_136,C1CCNCC1.F.N[SH](=O)=O.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_167,Br.Cl.F.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_140,CN1CCCCC1.CO.NC=O.O=CO,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_021,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,decoy,inactive,Diuretic compound
CDK_216,Br.N[SH](=O)=O.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_225,Br.NC=O.O=CO.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_145,Br.F.FC(F)F.c1ccncc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_187,C1CCNCC1.N[SH](=O)=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_109,CN1CCCCC1.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_217,Br.CN1CCCCC1.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_018,CC1CC(C)CN(C1)c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F,decoy,inactive,Diuretic compound
DECOY_162,C1CCNCC1.CN1CCCCC1.F.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_068,C1CCNCC1.CC(C)C.Nc1ncnc(Nc2ccccc2)n1.c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 34
DECOY_071,C1CCNCC1.CO.Cl.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_045,CN1CCCCC1.FC(F)F.c1ccccc1.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_265,FC(F)F.c1ccccc1.c1ccncc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_218,C1CCNCC1.N[SH](=O)=O.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_184,Br.NC=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_176,CN1CCCCC1.F.N[SH](=O)=O.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_110,Cc1ccccc1.Cn1ncc2ncncc21.FC(F)(F)c1ccccc1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 76
DECOY_092,Br.CN1CCCCC1.CO.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_022,CCCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,decoy,inactive,ACE inhibitor compound
CDK_093,C1CCNCC1.Nc1n[nH]c2ccccc12.c1ccccc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 59
DECOY_029,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,decoy,inactive,Antihistamine compound
DECOY_164,CO.F.FC(F)F.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_225,C1CCNCC1.CN.CN1CCCCC1.CO,decoy,inactive,Drug-like decoy compound
CDK_084,Cc1ccccc1.Cn1ccc2ncncc21.FC(F)(F)c1ccccc1,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 50
DECOY_089,C1CCNCC1.CN.N[SH](=O)=O.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_042,CN.CN1CCCCC1.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_040,CNc1ccc(Br)cc1CCC2=CC=CC=C2,decoy,inactive,Statin compound
DECOY_065,C1CCNCC1.F.c1ccccc1.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_082,CN.CN1CCCCC1.O=CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_075,Clc1ccccc1.Nc1ncnc(Nc2ccccc2)n1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 41
DECOY_231,Br.CN1CCCCC1.F.FC(F)F,decoy,inactive,Drug-like decoy compound
CDK_209,Br.NC=O.O=CO.c1cncnc1,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_093,Br.C1CCNCC1.CN.O=CO,decoy,inactive,Drug-like decoy compound
CDK_120,CN1CCCCC1.COc1ccccc1.Nc1nc(Nc2ccccc2)nc2ccccc12,CDK_inhibitor,CDK9_active,Synthetic kinase inhibitor scaffold 86
CDK_189,Br.CN1CCCCC1.FC(F)F.N[SH](=O)=O,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
DECOY_124,Cl.O=CO.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_096,CO.N[SH](=O)=O.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
